,id,gender,income,duration
0,0610b486422d4921ae7d2bf64640c50b,F,112000.0,376
1,78afa995795e4d85b5d9ceeca43f5fef,F,100000.0,443
2,e2127556f4f64592b11af22de27a7932,M,70000.0,91
3,389bc3fa690240e798340f5a15918d5c,M,53000.0,167
4,2eeac8d8feae4a8cad5a6af0499a211d,M,51000.0,257
5,aa4862eba776480b8bb9c68455b8c2e1,F,57000.0,318
6,e12aeaf2d47d42479ea1c4ac3d8286c6,M,46000.0,1624
7,31dda685af34476cad5bc968bdb01c53,F,71000.0,896
8,62cf5e10845442329191fc246e7bcea3,M,52000.0,1351
9,6445de3b47274c759400cd68131d91b4,M,42000.0,207
10,a448667f336b42c9a66fc5ffd5d73772,F,40000.0,86
11,440cf1fd7580490c971d8c651ed962af,F,71000.0,813
12,4b0da7e80e5945209a1fdddfe813dbe0,M,100000.0,320
13,c27e0d6ab72c455a8bb66d980963de60,F,71000.0,405
14,f806632c011441378d4646567f357a21,M,69000.0,1810
15,d058f73bf8674a26a95227db098147b1,F,88000.0,89
16,c6c9884912c645429f3333f912b55f44,F,52000.0,303
17,7429a044884842d6862f516c38b1156f,F,59000.0,318
18,ebe7ef46ea6f4963a7dd49f501b26779,M,41000.0,1282
19,5917d13f6fa04286abdf95f4d5cefb1e,M,96000.0,1433
20,d1ede868e29245ea91818a903fec04c6,O,52000.0,313
21,1e9420836d554513ab90eba98552d0a9,M,70000.0,304
22,868317b9be554cb18e50bc68484749a2,F,89000.0,251
23,f082d80f0aac47a99173ba8ef8fc1909,M,33000.0,747
24,102e9454054946fda62242d2e176fdce,F,57000.0,711
25,8dabe2142cdf4013a6f4786edf8ab00f,M,68000.0,1537
26,9f30b375d7bd4c62a884ffe7034e09ee,F,63000.0,348
27,6e014185620b49bd98749f728747572f,M,40000.0,987
28,02c083884c7d45b39cc68e1314fec56c,F,30000.0,745
29,c0d210398dee4a0895b24444a5fcd1d2,M,33000.0,19
30,8b70ca1f5f5a45bdac2ac2f990b71526,M,98000.0,247
31,8e7c7465e98c43d8a01f51e2b5c29542,F,37000.0,1772
32,57dd18ec5ddc46828afb81ec5977bef2,F,80000.0,534
33,be8a5d1981a2458d90b255ddc7e0d174,M,51000.0,1521
34,3f89b8f80ebc4f94b7074f28071aa8d4,F,41000.0,1039
35,a3b9b4bf115e4564933ea2e4bc936843,F,48000.0,1198
36,7584948ea6d04f94b8798624706261c2,F,38000.0,109
37,e9844d5beac04bf8b8d3ad18f7e37fca,F,52000.0,395
38,f247806381704ea58c1b06f60602a6ae,F,56000.0,1464
39,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,M,96000.0,921
40,fe8264108d5b4f198453bbb1fa7ca6c9,F,93000.0,655
41,186d6403f5824c739555b732f4af3f16,M,48000.0,293
42,8a87fda1a6644337b4394a4c3cd0946c,M,50000.0,817
43,b7a66e629b134079a9bc7120c7b9947b,M,35000.0,305
44,ca82e1ebc759402c8ab95c341755bdf1,M,56000.0,13
45,54890f68699049c2a04d415abc25e717,M,56000.0,210
46,ab66a363907e43e9a7cd535f1578245b,F,47000.0,134
47,d3f146b615514c6380b168bb3df5f05b,M,87000.0,337
48,a5a6ef2b78a04ddc9f374dd7c7f60bff,M,52000.0,970
49,2e87ba0fba1a4d1a8614af771f07a94d,M,76000.0,515
50,d8af520c4a8a4c77b921098d7d838c4d,M,51000.0,726
51,39dbcf43e24d41f4bbf0f134157e0e1e,M,64000.0,1425
52,b62e66ca4dcf4df39fd522e750a88d81,M,98000.0,169
53,8c7df0c393db488aac3e58b06a7ea5f9,F,72000.0,750
54,3a1242dda16248728e350c4bdeb21972,F,117000.0,572
55,8045834137dc47faa24f2c4547969f33,F,55000.0,273
56,fb98ebe9e3e14afaa5b5db182b00b7ec,F,112000.0,258
57,5cd6577aca5d4b419e452f9f505ffce7,F,77000.0,684
58,99e9a1916821461ebd5d5048dc2dff7d,F,85000.0,182
59,e528ceb341964128aaf58a59733ec2af,F,36000.0,27
